账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1219020189____,SZ,000301,700,700,0,0,700,14.647,9674.00,-579.00
2____10140____100____49____1219020189____,SZ,000651,200,200,0,0,200,38.985,7698.00,-99.00
2____10140____100____49____1219020189____,SZ,000723,300,300,0,0,300,4.286,1143.00,-142.78
2____10140____100____49____1219020189____,SZ,000938,100,100,0,0,100,38.060,3843.00,37.00
2____10140____100____49____1219020189____,SZ,000963,300,300,0,0,300,27.517,8130.00,-125.00
2____10140____100____49____1219020189____,SZ,000977,200,200,0,0,200,86.175,17400.00,165.00
2____10140____100____49____1219020189____,SZ,000983,400,400,0,0,400,7.400,2788.00,-172.00
2____10140____100____49____1219020189____,SZ,000999,400,400,0,0,400,24.492,9660.00,-137.00
2____10140____100____49____1219020189____,SZ,002648,100,100,0,0,100,29.539,2740.00,-213.87
2____10140____100____49____1219020189____,SZ,300250,200,200,0,0,200,16.984,3238.00,-158.82
2____10140____100____49____1219020189____,SZ,300383,100,100,0,0,100,12.556,1200.00,-55.61
2____10140____100____49____1219020189____,SZ,300609,200,200,0,0,200,26.339,5080.00,-187.74
2____10140____100____49____1219020189____,SH,600025,1000,1000,0,0,1000,9.679,9810.00,131.00
2____10140____100____49____1219020189____,SH,600028,100,100,0,0,100,5.119,543.00,31.05
2____10140____100____49____1219020189____,SH,600039,100,100,0,0,100,9.600,950.00,-10.00
2____10140____100____49____1219020189____,SH,600161,700,700,0,0,700,12.367,8638.00,-19.00
2____10140____100____49____1219020189____,SH,600188,100,100,0,0,100,26.064,2215.00,-391.42
2____10140____100____49____1219020189____,SH,600346,100,100,0,0,100,20.938,1839.00,-254.84
2____10140____100____49____1219020189____,SH,600547,300,300,0,0,300,35.617,11394.00,709.00
2____10140____100____49____1219020189____,SH,600760,100,100,0,0,100,47.444,4819.00,74.62
2____10140____100____49____1219020189____,SH,600850,100,100,0,0,100,15.545,1455.00,-99.45
2____10140____100____49____1219020189____,SH,600919,100,100,0,0,100,12.270,1223.00,-4.00
2____10140____100____49____1219020189____,SH,601018,300,300,0,0,300,3.527,1041.00,-17.00
2____10140____100____49____1219020189____,SH,601100,100,100,0,0,100,102.000,9980.00,-220.00
2____10140____100____49____1219020189____,SH,601136,300,300,0,0,300,16.585,4560.00,-415.54
2____10140____100____49____1219020189____,SH,601169,2100,2100,0,0,2100,5.465,11592.00,116.00
2____10140____100____49____1219020189____,SH,601225,300,300,0,0,300,26.973,7830.00,-262.00
2____10140____100____49____1219020189____,SH,601229,200,200,0,0,200,9.615,1926.00,3.00
2____10140____100____49____1219020189____,SH,601288,1700,1700,0,0,1700,7.016,11985.00,57.00
2____10140____100____49____1219020189____,SH,601319,1600,1600,0,0,1600,7.750,12624.00,224.00
2____10140____100____49____1219020189____,SH,601328,1500,1500,0,0,1500,7.343,11130.00,116.00
2____10140____100____49____1219020189____,SH,601398,1400,1400,0,0,1400,8.124,11480.00,106.00
2____10140____100____49____1219020189____,SH,601600,100,100,0,0,100,9.710,960.00,-11.00
2____10140____100____49____1219020189____,SH,601658,2100,2100,0,0,2100,5.439,11655.00,233.00
2____10140____100____49____1219020189____,SH,601728,1800,1800,0,0,1800,6.457,11646.00,24.00
2____10140____100____49____1219020189____,SH,601857,1000,1000,0,0,1000,11.533,11210.00,-323.00
2____10140____100____49____1219020189____,SH,601872,100,100,0,0,100,18.690,1790.00,-79.00
2____10140____100____49____1219020189____,SH,601898,300,300,0,0,300,16.017,4434.00,-371.00
2____10140____100____49____1219020189____,SH,601919,100,100,0,0,100,17.190,1645.00,-74.00
2____10140____100____49____1219020189____,SH,601988,1900,1900,0,0,1900,6.640,12673.00,57.00
2____10140____100____49____1219020189____,SH,601998,200,200,0,0,200,8.865,1760.00,-13.00
2____10140____100____49____1219020189____,SH,688126,481,481,0,0,481,24.250,11428.56,-235.88
2____10140____100____49____1219020189____,SH,688223,1047,1047,0,0,1047,4.125,4240.35,-78.29
2____10140____100____49____1219020189____,SH,688472,481,481,0,0,481,8.960,4232.80,-77.15
