账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1219020189____,SZ,000983,最优五档即时成交剩余撤销买入,6.960,100,696.00,0.00,20260904,93000,10557,0105000001068157,1209008129,yz10,,48
2____10140____100____49____1219020189____,SZ,300413,最优五档即时成交剩余撤销卖出,20.420,300,6126.00,0.00,20260904,93001,10610,0104000001237773,1209008130,rolling,,48
2____10140____100____49____1219020189____,SZ,300413,最优五档即时成交剩余撤销卖出,20.420,100,2042.00,0.00,20260904,93001,10610,0104000001237775,1209008130,rolling,,48
2____10140____100____49____1219020189____,SZ,000895,最优五档即时成交剩余撤销买入,23.680,100,2368.00,0.00,20260904,93004,10731,0102000001600539,1209008137,indicator,,48
2____10140____100____49____1219020189____,SZ,300609,最优五档即时成交剩余撤销买入,24.700,200,4940.00,0.00,20260904,93006,10758,0101000001539207,1209008141,g7,,48
2____10140____100____49____1219020189____,SZ,300250,最优五档即时成交剩余撤销买入,16.320,100,1632.00,0.00,20260904,93007,10782,0101000001595078,1209008142,g7,,48
2____10140____100____49____1219020189____,SZ,300609,最优五档即时成交剩余撤销卖出,24.740,200,4948.00,0.00,20260904,93008,10806,0101000001640765,1209008144,g7,,48
2____10140____100____49____1219020189____,SZ,300250,最优五档即时成交剩余撤销卖出,16.260,200,3252.00,0.00,20260904,93008,10816,0101000001646238,1209008145,g7,,48
2____10140____100____49____1219020189____,SH,600018,最优五档即时成交剩余撤销卖出,5.490,800,4392.00,0.00,20260904,93028,10662,0000000000988379,1209008131,rolling,,48
2____10140____100____49____1219020189____,SH,600018,最优五档即时成交剩余撤销卖出,5.490,200,1098.00,0.00,20260904,93028,10662,0000000000988380,1209008131,rolling,,48
2____10140____100____49____1219020189____,SH,600039,最优五档即时成交剩余撤销卖出,9.220,300,2766.00,0.00,20260904,93029,10694,0000000000995754,1209008132,rolling,,48
2____10140____100____49____1219020189____,SH,601319,最优五档即时成交剩余撤销卖出,8.070,900,7263.00,0.00,20260904,93029,10713,0000000000997912,1209008134,rolling,,48
2____10140____100____49____1219020189____,SH,601658,最优五档即时成交剩余撤销卖出,5.450,1200,6540.00,0.00,20260904,93029,10722,0000000000998192,1209008135,rolling,,48
2____10140____100____49____1219020189____,SH,601658,最优五档即时成交剩余撤销卖出,5.450,300,1635.00,0.00,20260904,93029,10722,0000000000998193,1209008135,rolling,,48
2____10140____100____49____1219020189____,SH,601838,最优五档即时成交剩余撤销卖出,19.460,100,1946.00,0.00,20260904,93029,10727,0000000000998195,1209008136,rolling,,48
2____10140____100____49____1219020189____,SH,600850,最优五档即时成交剩余撤销买入,14.670,100,1467.00,0.00,20260904,93029,10800,0000000001002957,1209008143,g7,,48
2____10140____100____49____1219020189____,SH,601169,最优五档即时成交剩余撤销卖出,5.540,800,4432.00,0.00,20260904,93032,10704,0000000001071053,1209008133,rolling,,48
2____10140____100____49____1219020189____,SH,601728,最优五档即时成交剩余撤销买入,6.380,900,5742.00,0.00,20260904,93032,10755,0000000001077403,1209008140,g4,,48
2____10140____100____49____1219020189____,SH,688223,最优五档即时成交剩余撤销买入,4.040,1184,4783.36,0.00,20260904,93033,10733,0000000001100088,1209008138,indicator,,48
2____10140____100____49____1219020189____,SH,688472,最优五档即时成交剩余撤销买入,8.760,573,5019.48,0.00,20260904,93033,10741,0000000001100295,1209008139,indicator,,48
2____10140____100____49____1219020189____,SZ,000895,最优五档即时成交剩余撤销卖出,23.620,100,2362.00,0.00,20260904,93039,11621,0102000002708474,1209008146,indicator,,48
2____10140____100____49____1219020189____,SH,688303,最优五档即时成交剩余撤销卖出,16.740,200,3348.00,0.00,20260904,93045,11624,0000000001440304,1209008147,indicator,,48
2____10140____100____49____1219020189____,SH,688303,最优五档即时成交剩余撤销卖出,16.700,18,300.60,0.00,20260904,93045,11624,0000000001440305,1209008147,indicator,,48
2____10140____100____49____1219020189____,SH,204001,通用回购卖出,0.840,8820,882000.00,0.00,20260904,145828,137501,1200801005487740,,,,48
