账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1219020189____,SZ,000596,100,100,0,0,100,98.040,10117.00,313.00
2____10140____100____49____1219020189____,SZ,000723,300,300,0,0,300,4.286,1134.00,-151.78
2____10140____100____49____1219020189____,SZ,000895,100,0,100,0,100,24.044,2417.00,12.63
2____10140____100____49____1219020189____,SZ,000983,300,200,100,0,200,7.589,2061.00,-215.70
2____10140____100____49____1219020189____,SZ,300250,100,0,100,0,200,17.932,1610.00,-183.21
2____10140____100____49____1219020189____,SZ,300383,100,100,0,0,100,12.556,1217.00,-38.61
2____10140____100____49____1219020189____,SZ,300413,100,100,0,0,500,23.256,2125.00,-200.58
2____10140____100____49____1219020189____,SZ,300609,200,0,200,0,200,26.459,4980.00,-311.87
2____10140____100____49____1219020189____,SH,600018,100,100,0,0,1100,5.952,543.00,-52.22
2____10140____100____49____1219020189____,SH,600039,100,100,0,0,400,10.612,916.00,-145.15
2____10140____100____49____1219020189____,SH,600850,200,100,100,0,100,15.132,2918.00,-108.45
2____10140____100____49____1219020189____,SH,600919,100,100,0,0,100,12.270,1228.00,1.00
2____10140____100____49____1219020189____,SH,601169,100,100,0,0,900,4.363,560.00,123.66
2____10140____100____49____1219020189____,SH,601229,200,200,0,0,200,9.615,1922.00,-1.00
2____10140____100____49____1219020189____,SH,601319,0,0,0,0,900,0.000,0.00,391.20
2____10140____100____49____1219020189____,SH,601658,0,0,0,0,1500,0.000,0.00,17.56
2____10140____100____49____1219020189____,SH,601668,300,300,0,0,300,4.347,1320.00,16.00
2____10140____100____49____1219020189____,SH,601728,3300,2400,900,0,2400,6.443,21054.00,-208.23
2____10140____100____49____1219020189____,SH,601838,0,0,0,0,100,0.000,0.00,-3.81
2____10140____100____49____1219020189____,SH,601872,100,100,0,0,100,18.690,1920.00,51.00
2____10140____100____49____1219020189____,SH,601916,900,900,0,0,900,2.966,2673.00,4.00
2____10140____100____49____1219020189____,SH,601919,300,300,0,0,300,16.727,4818.00,-200.00
2____10140____100____49____1219020189____,SH,601939,200,200,0,0,200,11.115,2196.00,-27.00
2____10140____100____49____1219020189____,SH,601988,300,300,0,0,300,6.731,1971.00,-48.31
2____10140____100____49____1219020189____,SH,601998,500,500,0,0,500,8.854,4445.00,18.00
2____10140____100____49____1219020189____,SH,688009,513,513,0,0,513,4.950,2544.48,5.26
2____10140____100____49____1219020189____,SH,688126,481,481,0,0,481,24.250,10865.79,-798.65
2____10140____100____49____1219020189____,SH,688223,2231,1047,1184,0,1047,4.086,9057.86,-58.49
2____10140____100____49____1219020189____,SH,688303,0,0,0,0,218,0.000,0.00,-49.01
2____10140____100____49____1219020189____,SH,688472,1054,481,573,0,481,8.866,9254.12,-90.37
